 OUTWATCH                  Unknown Client            Do not have               From File                 ************                                                 YES
 DT_LOG                    Unknown Client            Do not have               From File                 ************                                                 YES
 IN_MODEL                  Unknown Client            Do not have               From File                 ..\data\Model_2.dat                                          YES
 START                     Model                     Do not have               From File                 2023.00000000000        3.00000000000000        31.000000000 YES
 END                       Model                     Do not have               From File                 2023.00000000000        4.00000000000000        1.0000000000 YES
 DT                        Model                     Do not have               From File                 45.0000000000000                                             YES
 VARIABLEDT                Model                     FALSE                     From File                 FALSE                                                        YES
 GMTREFERENCE              Model                     0.000000000000000E+000    From File                 0.000000000000000E+000                                       YES
 DT_PREDICTION_INTERVAL    Model                     60.0000000000000          From File                 60.0000000000000                                             YES
 SEDIMENT_COLUMN           ModuleModel               FALSE                     From File                 FALSE                                                        YES
 SEDIMENT                  ModuleModel               FALSE                     From File                 FALSE                                                        YES
 LAGRANGIAN                ModuleModel               FALSE                     From File                 FALSE                                                        YES
 WAVES                     ModuleModel               FALSE                     From File                 FALSE                                                        YES
 NO_ISOLATED_CELLS         ModuleModel               TRUE                      From File                 TRUE                                                         YES
 STOP_ON_BATHYMETRY_CHANGE ModuleModel               TRUE                      From File                 TRUE                                                         YES
 BACKTRACKING              ModuleModel               FALSE                     From File                 FALSE                                                        YES
 IN_BATIM                  Unknown Client            Do not have               From File                 ..\GeneralData\DigitalTerrain\AM_PA_GridData_average_ilhas_S YES
 ILB_IUB                   HorizontalGrid            Do not have               From File                 1         510                                                YES
 JLB_JUB                   HorizontalGrid            Do not have               From File                 1         670                                                YES
 HALOPOINTS                HorizontalGrid            3                         From File                 3                                                            YES
 D_DECOMP                  HorizontalGrid            *****                     From File                 *****                                                        YES
 COORD_TIP                 HorizontalGrid            Do not have               From File                 4                                                            YES
 LATITUDE                  HorizontalGrid            Do not have               From File                 2.57415000000000                                             YES
 LONGITUDE                 HorizontalGrid            Do not have               From File                 -48.0747200000000                                            YES
 DATUM                     HorizontalGrid            3                         From File                 3                                                            YES
 EASTING                   HorizontalGrid            0.000000000000000E+000    From File                 0.000000000000000E+000                                       YES
 NORTHING                  HorizontalGrid            0.000000000000000E+000    From File                 0.000000000000000E+000                                       YES
 PROJ_TYPE                 HorizontalGrid            11                        From File                 11                                                           YES
